reason,company,product_descrpition,brand_name,date
May be under processed - risk for botulism,"Lakeside Foods, Inc.",Pickled Sliced Beets,"Lakeside, Bountiful Harvest, Code Elite, more",03/2011
Salmonella,"World Variety Produce, Inc.",Serrano Peppers,Melissa&#39;s,03/2011
Salmonella,Thomas Produce Company,Jalapeno Peppers,Thomas Produce,03/2011
Salmonella,Universal Nutrition,Protein-based Supplements,"Universal Gain Fast, Universal LAVA, Universal Torrent, Others",03/2011
Contain alcohol prep pads that were recently recalled by the Triad Group due to potential contamination with Bacillus cereus,Eli Lilly and Company,Forteo starter kits containing Triad Group alcohol prep pads,Forteo,03/2011
May contain particulates prior to expiration date,"American Regent, Inc.","Dexamethasone Sodium Phosphate Injection, USP, 4 mg/mL, 1 mL Single Dose Vials; 5 mL and 30 mL Multiple Dose Vials",American Regent,03/2011
May contain visible particulates,"American Regent, Inc.","Bacteriostatic Sodium Chloride Injection, USP, 0.9%, 30 mL Multiple Dose Vials",American Regent,03/2011
May contain visible particulates,"American Regent, Inc.","Concentrated Sodium Chloride Injection, USP 23.4%, 30 mL Single Dose Vials and 100 mL Pharmacy Bulk Packages",American Regent,03/2011
Elizabethkingia meningoseptica,"H&amp;P Industries, Inc.",Povidone Iodine Prep Pads,"Cardinal Health, Triad, Total Resources, Others",03/2011
"Undeclared drug ingredient, Sibutramine","Shaping Beauty, Inc.",Dietary Supplement Tea,Celerite,03/2011
Clostridium Botulinum,"D&amp;M Smoked Fish, Inc. d/b/a Haifa Smoked Fish",Schmaltz Herring and Cold Smoked Sprats,Haifa,03/2011
Mold,"ONE World Enterprises, LLC",Coconut Water,O.N.E.,03/2011
"Alkaline Phosphatase, Insufficient Pasteurization",Oak Farms Dairy,Chocolate Milk,Oak Farms Dairy,03/2011
Listeria monocytogenes,Pierre Foods,"pb jamwich, crustless peanut butter and strawberry jam sandwiches",Pierre,03/2011
Salmonella,"Vitalabs, Inc.",Whey Protein Isolate,"Donne Hale’s, Dr. Bill&#39;s, HCG Buy Direct, Others",03/2011
Salmonella,Jones Natural Chews Co.,Pig Ear Dog Chews,"Jones Natural Chews, Blain&#39;s Farm and Fleet, Country Butcher Dog Chews",03/2011
Salmonella,RemedyTeas,Organic Herbal Tea,remedyteas,03/2011
Potential contamination with Bacillus cereus,"Smith &amp; Nephew, Inc.",IV PREP Antiseptic Wipes,Smith and Nephew,03/2011
Undeclared Milk,"McCormick &amp; Company, Incorporated",Tempura Seafood Batter Mix,Golden Dipt,03/2011
"Mislabeling and Undeclared wheat, milk, soy, and eggs","Faribault Foods, Inc.",Organic Garbanzo Beans,Field Day,03/2011
Salmonella,Unilever,Peanut Butter,Skippy,03/2011
Salmonella,Teavana Corporation,Peppermint Organic Herbal Tea,Teavana,03/2011
Escherichia coli O157:H7,DeFranco and Sons,Hazelnut and mixed nut products,"Sunripe, George Packing, Others",03/2011
Clostridium botulinum,"Daiei Trading Company, Inc.",Large Mouth Smelt Komochi Shishamo,Gourmet Family,03/2011
Undeclared soy proteins,"Garden of Life, LLC",Vitamin Code Raw Vitamin C,Garden of Life,03/2011
Inadequate Levels of Thiamine,"WellPet, LLC",Canned Cat Food,Wellness,02/2011
Elevated Levels of Lead,E&amp;J Brandy,E&amp;J VSOP and E&amp;J XO Gift Sets,E&amp;J,02/2011
Listeria monocytogenes,Taylor Farms Pacific,Broccoli items,"Tfarms, Raleys, Signature Cafe",02/2011
Out of specification for preservative efficacy,Bausch + Lomb,Eye drops,Soothe® Xtra Protection (XP),02/2011
Undeclared milk and food coloring additives.,Haddon House,Cheese Rice Crackers,Asian Gourmet,02/2011
"Undeclared drugs: Sibutramine, Tadalafil, and Sildenafil","Biotab Nutraceuticals, Inc.",EXTENZE nutritional supplement tablets,EXTENZE,02/2011
Potential under delivery of insulin due to a kinked/bent cannula,Roche Insulin Delivery Systems,ACCU-CHEK FlexLink Plus Infusion Set,ACCU-CHEK,02/2011
Mislabeled bottles,"Upsher-Smith Laboratories, Inc.",Various drugs,"Amantadine, Amlodipine, Baclofen, Others",02/2011
Undeclared peanuts,"Maya Overseas Food, Inc.",Dry Fruit &quot;Kachori&quot;,Maya,02/2011
Undeclared allergens,Natural Choice Distribution Company Inc.,Sandwiches and burritos,"Fare and Square, Superfresh, Real Wraps",02/2011
Uneviscerated Fish,"W H &amp; GROUP, LLC",Dried Fish,W H &amp; Group,02/2011
Clostridium botulinum,Pacific American Fish Company,Shishamo Roe Capelin 4L,Pacific American Fish Co.,02/2011
Fish is uneviscerated (not gutted) and poses a potential botulism hazard,Hua Shing International,Frozen fish,Hua Shing International,02/2011
Fish is uneviscerated (not gutted) and poses a potential botulism hazard,Hua Shing International,Frozen fish,Hua Shing International,02/2011
Mislabeled Bottles: 10mg strength tablets found in bottle labeled for 3mg tablets,"Upsher-Smith Laboratories, Inc.","Warfarin Sodium, USP, 3mg Tablets",Jantoven,02/2011
Undeclared Wheat and Soy,Prime Choice Foods Corporation,Multi Grain Tortilla Chips,Garden of Eatin’,02/2011
Undeclared Peanuts,f’real® foods,Strawberry Banana Smoothies,f&#39;real,02/2011
Undeclared Milk,"Magic Valley Fresh Frozen, Inc.",Breaded Okra,HEB,02/2011
Undeclared Peanuts,f’real® foods,Strawberry Banana Smoothies,f’real,02/2011
Undeclared drug ingredient: Sibutramine,Svelte 30 Nutritional Consultants,"Svelte 30 Herb Supplement, orange &amp; gray capsules",Svelte 30,02/2011
Undeclared soy protein,"Martin’s Famous Pastry Shoppe, Inc.",Chips,"Nibble with Gibble&#39;s, Kay and Ray&#39;s,",02/2011
Undeclared Soy,"BioSan Laboratories, Inc",Vitamin and Nutritional Supplements,"Essentials, RightFood, Therapeutix Cardio Strength, Others",02/2011
Contain alcohol wipes that were recently recalled by the Triad Group due to potential contamination with Bacillus cereus,"Neuro Resource Group, Inc.",NRG devices containing alcohol wipes,NRG,02/2011
Bottle may be incorrectly labeled,Qualitest Pharmaceuticals,"a) Hydrocodone Bitartrate and Acetaminophen Tablets

b)Phenobarbital Tablets",,02/2011
Contain alcohol prep pads that were recently recalled by the Triad Group due to potential contamination with Bacillus cereus,"Watson Pharmaceuticals, Inc.","Watson’s Trelstar (triptorelin pamoate for injectable suspension) product, containing alcohol prep pads",Trelstar,02/2011
Listeria monocytogenes,"St. James Smokehouse, Inc.",Salmon,St. James Smokehouse,02/2011
Elevated levels of histamine,Rouses Markets,Tuna steaks,Rouses,02/2011
Undeclared Wheat,American Spoon Foods,"Apple Chipotle Salsa, Maple BBQ Grilling Sauce, and Pumpkin Chipotle Roasting Sauce",American Spoon,02/2011
Particles consistent with glass delamination,"American Regent, Inc.","Potassium Phosphates Injection, USP, 15 mM/5 mL Phosphorus; 22 mEq/5 mL Potassium",American Regent,02/2011
Particles consistent with glass delamination,"American Regent, Inc.","Sodium Thiosulfate Injection, USP, 10%",American Regent,02/2011
Undeclared soy and fish,Shuckman’s Fish Co.,Cheese Spread,"Mooney’s, ValuMarket",02/2011
Undeclared Milk,"Magic Valley Fresh Frozen, Inc.",Breaded Okra,"Spartan, Shurfine",01/2011
"Sibutramine, an undeclared drug ingredient","Godi International, Corp.",Fruta Planta weight loss dietary supplements,Fruta Planta,01/2011
Undeclared Eggs,Tomaso&#39;s Specialty Foods and Distributing,Caesar Dressing,Tomaso&#39;s,01/2011
May contain monensin sodium,"Manna Pro Products, LLC",Horse Feed,Family Farm,01/2011
Undeclared almonds,Publix Super Markets,Ice Cream,Publix,01/2011
Salmonella,"Merrick Pet Care, Inc.",JR Texas Taffy Pet Treats,Merrick,01/2011
Undeclared milk,United Grocers,Bread,"Mariegold, Vallarta",01/2011
Undeclared soy,Shuckman’s Fish Co.,Cheese and cheese spread,Mooney&#39;s and ValuMarket,01/2011
Salmonella,"Sabor Farms, LLC",Cilantro,"Nature’s Reward, Ocean Mist, Queen Victoria,  Others",01/2011
Undeclared peanuts,Keebler,Keebler,Keebler,01/2011
Lead,"Circle City Marketing and Distributing, DBA Candy Dynamics",Chew Bars,Toxic Waste,01/2011
Undeclared sulfites,Peekay International Inc.,Raisins,Swan,01/2011
Contains potentially contaminated alcohol prep pads,"Pfizer Inc. and Progenics  Pharmaceuticals, Inc.",Relistor kit containing alcohol prep pads,Relistor,01/2011
Listeria monocytogenes,State Garden,Salad mixes,"Gold Quality, Hannaford, Natures Place, more",01/2011
Listeria monocytogenes,Ian&#39;s,Mac and No Cheese; French Bread Pizza,Ian&#39;s,01/2011
Contains potentially contaminated alcohol prep pads,GlaxoSmithKline,ARIXTRA Starter Kit containing alcohol prep pads,GlaxoSmithKline,01/2011
"Sibutramine, an undeclared drug ingredient","Shaping Beauty, Inc.",Celerite Slimming Capsules,Celerite,01/2011
Undeclared milk,"Pretzels, Inc.",Corn Pops,Better Made,01/2011
Clostridium botulinum,"Hawaii Business Group, Incorporated; Barb’s Favorite Recipes; and Ohana Seafoods",Black Bean Sauce,Barb’s Local Style and Ohana Flavors,01/2011
Clostridium botulinum,Mama Rose&#39;s Gourmet Foods,"Cilantro Con Queso, Garlic Con Queso, Viper Venom Con Queso, and Hopi Corn Salsa","Mama Rose&#39;s, Fred Harvey",01/2011
Contains potentially contaminated alcohol prep pads,Bayer HealthCare Pharmaceuticals,Betaseron kit containing alcohol prep pads,Betaseron,01/2011
Undeclared peanuts,King &amp; Prince Seafood,Breaded Calamari Rings,Mrs. Friday’s,01/2011
Undeclared milk protein,Barrel O’ Fun Snack Foods Co.,Potato Chips,Valu Time,01/2011
Undeclared Milk Ingredient,Rich Products Corporation,Deep Deveined Shrimp,Sonny’s Barbeque,01/2011
"Adulterated with Sildenafil, an FDA approved drug used in the treatment of Erectile Dysfunction (ED), making the products unapproved new drugs",Kanec USA,Nite Rider Maximum Sexual Enhancer For Men and STUD  Capsules for Men Male Enhancement Herbal Supplement Capsules Marketed as Dietary Supplements,"Stud, Nite Rider",01/2011
Production records found instances where equipment cleaning procedures were insufficient or that cleaning was not adequately documented.,McNeil Consumer Healthcare,"TYLENOL® 8 Hour, TYLENOL® Arthritis Pain, and TYLENOL® upper respiratory products, and certain lots of BENADRYL®, SUDAFED PE®, and SINUTAB®","TYLENOL, BENADRYL, SUDAFED PE",01/2011
Undeclared milk,Barry Callebaut USA LLC,Chocolate Chips,Kroger,01/2011
Lead,"Circle City Marketing and Distributing, DBA Candy Dynamics",Chew Bars,Toxic Waste,01/2011
Kits contain alcohol prep pads that were recently recalled by the Triad Group due to potential contamination with Bacillus cereus,"Genentech, Inc.",Medicine Kits,"Boniva, Fuseon, Pegasys, Others",01/2011
Listeria Monocytogenes,MS Fish Corp.,Schmaltz Herring,Ossie’s,01/2011
Undeclared milk,Barry Callebaut USA LLC,Chocolate Chips,Kroger,01/2011
Contaminated with Listeria monocytogenes and Staphylococcus aureus,Surtex Foods,Oaxaca string Cheese La Original,La Original,01/2011
Contain alcohol prep pads that were recently recalled by the Triad Group due to potential contamination with Bacillus cereus,Novartis Pharmaceuticals Corporation,Extavia kit containing alcohol prep pads,Extavia,01/2011
Salmonella,"La Placita Botanas Mexicanas, Inc.","Snack Products with Chile: Wheat Snacks, Potato Chips, and Corn Churritos",La Placita,01/2011
Underweight Tablets,"Teva Pharmaceuticals, U.S.A",Metronidazole Tablets,Teva Pharmaceuticals,01/2011
Salmonella,"Boncheff Greenhouses, Inc.","Cilantro, Curly Parsley, Italian Parsley","Boncheff, Wegmans",01/2011
Bacillus cereus,Triad Group,"Alcohol Prep Pads, Alcohol Swabs, and Alcohol Swabsticks","VersaPro, Cardinal Health, PSS Select, Others",01/2011
Salmonella,"Sprouters Northwest, Inc.",Sprouts,"Sprouters Northwest, Brocco",01/2011
Unapproved drugs - contain an analog of Sildenafil,Drive Total Energy,Rock Hard Extreme and Passion Coffee Dietary Supplements,"RockHard Extreme, Passion Coffee",12/2010
May contain particulates,Cumberland Pharmaceuticals Inc,Acetadote® (acetylcysteine) Injection,Acetadote,12/2010
Unapproved new drug - contains sibutramine,PRock Marketing LLC,Fruta Planta Capsules,Fruta Planta,12/2010
Incorrect concentration listed,The Ritedose Corporation,Albuterol Inhalation Solution,,12/2010
Salmonella,Tiny Greens,Sprouts,Tiny Greens,12/2010
"distal bond failure which has resulted in peeling of the bond and/or detachment of the distal end of the scoring element, wherein the proximal end of the scoring element remains secured to the catheter",AngioScore Incorporated,PTA Scoring Balloon Catheter,AngioSculpt,12/2010
Salmonella,J&amp;D Produce,Fresh produce,Little Bear,12/2010
Undeclared milk,Mexicantown Wholesale,Cuernos (croissants),Mexicantown,12/2010
Staphylococcus aureus,Whole Foods Market,ginger bread houses,Whole Food Market (WFM),12/2010
Staphylococcus aureus,Whole Foods Market,Bakery Products and Prepared Foods,Whole Food Market (WFM),12/2010
Undeclared egg,"Brand Castle, LLC",Rice Krispies Treats Holiday Village Kit,Kellogg&#39;s,12/2010
May contain particulates,American Regent,"Sodium Bicarbonate Injection, USP, 7.5% 
and 8.4%, 50 mL Single Dose Vials",American Regent,12/2010
Undeclared milk,South Florida Bakery,Coconut Macaroons (Coquitos),Publix Bakery,12/2010
May crack or break during use,ev3,Dilation catheter,NanoCross,12/2010
The fish is uneviscerated and poses a potential hazard for botulism.,JFC International Inc.,Frozen capelin fish,,12/2010
Unapproved drug - contain an analog of Sildenafil,RockHard Laboratories,RockHard Weekend and Pandora dietary supplements,"RockHard Weekend, Pandora",12/2010
may give falsely low blood glucose results,Abbott Diabetes Care,Glucose test strips,,12/2010
off odor,Pfizer,Lipitor,Lipitor,12/2010
May contain particulates,American Reagent,"Dexamethasone Sodium Phosphate Injection, USP, 4 mg/mL",,12/2010
E. coli O157:H7,Whole Foods Market,Cheese,"Whole Foods Market, Sally Jackson",12/2010
Listeria monocytogenes,Bright Water Seafood,Seafood dip and spread,Bright Water,12/2010
Products may contain aflatoxin.,Kroger,Select packages of dog &amp; cat food,Brand 1 - Pet Pride; Brand 2 - Old Yeller; Brand 3 - Kroger Value,12/2010
E. coli O157:H7,Sally Jackson Cheese,Cheese,,12/2010
Undeclared milk and soy,"YNot Foods, Inc.",Orzo Toscano,Upsides,12/2010
Undeclared milk,"Tofutti Brands, Inc.",Frozen Dessert Cones,Yours Truly,12/2010
Undeclared milk and soy,Brinkman Turkey Farms Inc.,Barbecue Sauce,Brinkman&#39;s,12/2010
Undeclared Milk,"Toffuti Brands, Inc.",Frozen Dessert Cones,Yours Truly,12/2010
Salmonella,Tropical Nut &amp; Fruit,Walnuts,"Atlas, Tropical, Harris Teeter",12/2010
"Foreign materials, including metal and wood particles","McNeil Consumer Healthcare, Division of McNEIL-PPC, Inc.",Rolaids Soft Chews,Rolaids,12/2010
"Mislabeled: Acetaminophen, phenylephrine, and chlorpheniramine maleate not included",Reese Pharmaceutical Company,Cold Decongestant Tablets,"Refenesen, Select, QC Medifin, Others",12/2010
Salmonella,Mojave Foods Corporation,Shelled Walnuts,El Guapo,12/2010
Salmonella,"Pablo&#39;s Produce, Inc.",Spreads,Pablo&#39;s Produce of USA,12/2010
Clostridium botulinum,"S&amp;S Food, Inc.",Dried fish Vobla gutted,Qualitat Fisch Kompass,12/2010
Unapproved drug - contains  Sulfoaidenafil,Intelli Health Products,"Dietary Supplements, Duro Extend Capsules For Men",Duro Extend,12/2010
Salmonella,Frontier Natural Products Co-op,Nutmeg,"Frontier Bulk, Whole Foods 365",11/2010
Listeria monocytogenes,Rushing Waters Fisheries,Spreads,Rushing Waters Fisheries,11/2010
Undeclared alcohol from flavoring agents,"Johnson &amp; Johnson-Merck Consumer Pharmaceuticals, Co.",Mylanta and Alternagel Liquid Products,"Mylanta, Alternagel",11/2010
Undeclared egg,"McCormick &amp; Company, Incorporated",All-Purpose Batter,Golden Dipt,11/2010
"E. coli O157:H7, Listeria monocytogenes",Whole Foods Market,Cheese,Bravo Farms,11/2010
Pump Door Open Alarm May Malfunction,"WalkMed Infusion, LLC",Pole Mount Infusion Pumps,Triton,11/2010
Undeclared milk and soy,"Lobby Shoppes, Inc.",Popcorn,Lobby Shoppes,11/2010
Labeling update,McNeil Consumer Healthcare,Tylenol Cold Liquid Products,Tylenol,11/2010
Salmonella,Artisan Confections Company,Candy,Dagoba,11/2010
"E. coli O157:H7, Listeria monocytogenes",Bravo Farms,Cheese,Bravo Farms,11/2010
"May malfunction, causing severe pain, overly loud sounds and/or shocking sensations",Advanced Bionics,Cochlear Implants,HiRes 90K,11/2010
Undeclared milk,Krunchers! Inc.,Potato Chips,Jay&#39;s,11/2010
Listeria monocytogenes,Del Bueno,Cheese,Del Bueno,11/2010
Uncharacteristic consistency or texture,McNeil Consumer Healthcare,,Rolaids,11/2010
Insufficiencies in the development of the manufacturing process,McNeil Consumer Healthcare,"Children&#39;s Benadryl, Children&#39;s Motrin","Benadryl, Motrin",11/2010
Undeclared milk,Liz Lovely,Cookies,Liz Lovely,11/2010
Undeclared sulfites,S&amp;M (U.S.A.) Enterprise Corp.,,Grow Grove Notes,11/2010
E. coli O157:H7,DPI Specialty Foods,Gorgonzola Cheese,Mauri,11/2010
E. coli O157:H7,DPI Specialty Foods,Gorgonzola Cheese,Mauri,11/2010
Salmonella,"Cal-Maine Foods, Inc.",,Pippin,11/2010
E. coli O157:H7,Bravo Farms,Dutch Style Gouda,Bravo Farms,11/2010
Undeclared peanuts,Fresh &amp; Easy Neighborhood Market,Cookie Dough,fresh&amp;easy,11/2010
Pump Door Open Alarm May Malfunction,"WalkMed Infusion, LLC",Triton Pole Mount Infusion Pumps,Triton,11/2010
Salmonella in Cilantro,Orval Kent Food Company,"Cilantro containing products: Salads, Dips, Ceviche, Dressing","Bistro, CA Pizza Kitchen, Chef Solutions, Fish House Foods, etc.",11/2010
E. coli O157:H7,"Baugher Enterprise, Inc.",Apple Cider,Baugher&#39;s,11/2010
Salmonella,"Cal-Maine Foods, Inc.",Shell Eggs,"Sunny Meadow, Springfield Grocer, Sun Valley, more",11/2010
Accelerated Release of Fentanyl,Actavis U. S.,25 mcg/h Fentanyl patches,Actavis,11/2010
E. coli O157:H7,Baugher&#39;s,Apple Cider,Baugher&#39;s,11/2010
Elevated Levels of Histamine,"Beaver Street Fisheries, Inc.",Tuna Loins,Beaver Street,11/2010
Can fracture during use,Medtronic Inc.,Tissue Stabilizer,Octopus,10/2010
Listeria monocytogenes,Kosher First LLC,Nova Lox Salad,Tuv Taam Salads,10/2010
May contain glass flakes,Sandoz Inc.,Methotrexate injection,"Sandoz, Parenta",10/2010
Incorrect results,"bioMérieux, Inc.",VITEK® 2 Gram Negative Susceptibility Cards,VITEK® 2,10/2010
Unapproved drug - contains  Sulfoaidenafil,Intelli Health Products,Duro Extend Capsules For Men,Duro Extend,10/2010
trace amounts of contaminant,B. Braun Medical Inc.,heparin,B. Braun,10/2010
The product may contain inconsistent amounts of the substance belladonna,Standard Homeopathic Company,Teething tablets,Hyland,10/2010
Undeclared peanuts,Nestle USA,Raisinets,Nestle,10/2010
May contain foreign particles,Colombina S.A.,Flavored lollipops,Mega Pops,10/2010
Clostridium botulinum,"Foremost Foods International, Inc.",Dried Seafood Products,Tomi,10/2010
Contaminated with monensin,"Western Milling, LLC",Turkey Feed,"Universal, Kruse Perfection",10/2010
released its active ingredient faster than the approved specification,Actavis Inc.,Fentanyl patch,Actavis,10/2010
Salmonella,"Del Monte Fresh Produce N.A., Inc.",Cantaloupes,Del Monte Fresh,10/2010
Listeria monocytogenes,Sangar Fresh Cut Produce,fresh cut produce,Sangar,10/2010
"Uncharacteristic smell caused by the presence of trace amounts of a chemical called 2,4,6-tribromoanisole (TBA)",McNeil Consumer Healthcare,"Over the counter (OTC) products, 8 Hour Caplets",Tylenol,10/2010
Manufactured without the required processes in place to control food borne pathogens,Pats Exotic Beverages Inc.,Beverages,,10/2010
Glass,Pictsweet Company,Frozen Green Peas,Pictsweet,10/2010
"may experience an intermittent communication error, freezing screen",CareFusion,PC Units,Alaris,10/2010
Potential leak and loss of sterility,Excelsior Medical Corporation,Prefilled Saline Flush Syringe,Excelsior,10/2010
Undeclared milk product,Pictsweet Company,Breaded Okra,Pictsweet,10/2010
off odor,Pfizer,,Lipitor,10/2010
Excess Vitamin D,"Blue Buffalo Company, Ltd.",Dog food,Blue,10/2010
Salmonella,"Living Foods, Inc.",Alfalfa Sprouts,"Living Foods, Inc.",10/2010
may contain an Aromatase Inhibitor,Gaspari Nutrition,Novedex XT,Novedex XT,10/2010
Listeria monocytogenes,"D &amp; M Smoked Fish, Inc. (DBA Haifa Smoked Fish)",Smoked Fish,Haifa Smoked Fish,10/2010
Salmonella,Montalvan&#39;s Sales,Ice Cream,La Nuestra,10/2010
"Undeclared cashews, almonds and Brazil nuts",Lucerne Foods,Western Hazelnut Bread,Oregon Bread,10/2010
Undeclared walnuts,Rising Dough Bakery,Cranberry Muffins,Rising Dough,09/2010
Undeclared walnuts,"Hostess Brands, Inc.",,Hostess,09/2010
Glass flakes in vials,Amgen,EPOGEN® and PROCRIT® (Epoetin alfa) vials,Epogen,09/2010
Potential leak of the components contained in the wrap,"Pfizer, Inc.",ThermaCare HeatWraps Menstrual,ThermaCare,09/2010
Undeclared eggs,Red Lotus Bakery,Butter Cup Cakes,Red Lotus Bakery,09/2010
Undeclared peanuts,Deluxe Ice Cream,Ice cream,Western Family,09/2010
Undeclared peanuts,Suzipoo,Candy,Suzipoo,09/2010
Insect contamination,Abbott,Powder Infant Formula,Similac,09/2010
Undeclared peanut butter,General Mills,Granola Thins,Nature Valley,09/2010
Undeclared peanuts,House of Spices,Star noodles TamTam,Garvi Gujarat,09/2010
Undeclared walnuts,Dough Masters Inc.,Cookies,Fresh to Go,09/2010
may contain an Aromatase Inhibitor,Advanced Muscle Science,"Arom-X, Arom-X UTT, Arom-XL, 4-AD, and Decavol",Advanced Muscle Science,09/2010
May contain an Aromatase Inhibitor,"Tribravus Enterprises, LLC d/b/a/ iForce Nutrition, LLC",Reversitol capsules,IForce,09/2010
Listeria monocytogenes,Hallmark Fisheries,packaged crab meat products,"Hallmark, Peacock, Quality Ocean International, more",09/2010
may contain an Aromatase Inhibitor,Fizogen Precision Technologies,Off Cycle II Hardcore,Fizogen Precision Technologies,09/2010
may contain an Aromatase Inhibitor,KiloSports Inc.,Clomed,Clomed,09/2010
Disconnection at the retention ring of the patient port manifold causes the unit to be inoperable.,"Westmed, Inc.",Manual Resuscitation Devices,BagEasy,09/2010
may contain an Aromatase Inhibitor,Genetic Edge Technologies,ArimaDex,"G.E.T Genetic Edge Technologies, Inc.",09/2010
Improper Pasteurization,Midland Farms,,"Midland Farms, Corrado&#39;s Market, Jersey Dairy Farms, more",09/2010
Salmonella,Real Taste Noodle Manufacture,Egg Noodle,,09/2010
Salmonella,Sparboe Farms,Eggs,"Market Pantry, Sparboe Farms",09/2010
Salmonella,Hartz Mountain Corporation,Dog treats,Hartz Naturals,09/2010
Listeria monocytogenes and Staphylococcus aureus,Whole Foods Market,Cheese,"Morningland Dairy, Ozark Hills Farm",09/2010
Undeclared Peanuts,Torn &amp; Glasser,"Mixed nuts, no peanuts",Torn &amp; Glasser,09/2010
Undeclared sulfites,"Cibo Vita, Inc.",Mediterranean Mix,Woodpecker,09/2010
Potential to be contaminated with Listeria monocytogenes,MKG Provisions,Atlantic Smoked Salmon,"UpRiver, Nordic Choice",09/2010
Salmonella,The Procter &amp; Gamble Company,,Iams,08/2010
Listeria monocytogenes and Staphylococcus aureus,"Morningland Dairy of the Ozarks, LLC",Cheese,"Morningland Dairy, Ozark Hills Farm",08/2010
Salmonella,"Good Taste Noodle MFG., Inc.",Egg noodles and wonton skins,Taste Good,08/2010
Salmonella,The Procter &amp; Gamble Company,,Iams,08/2010
Listeria monocytogenes,QUESERIA CHIPILO INC.,,"QUESERIA CHIPILO, QUESO CHIPILO,   CHIPILO, more",08/2010
Salmonella,Sparboe Farms,,,08/2010
Salmonella typhi,Paleta California Co.,Frozen Mamey Fruit Bars,Paleta California,08/2010
Undeclared Peanuts,Torn &amp; Glasser,"Mixed nuts, no peanuts",Torn &amp; Glasser,08/2010
Listeria monocytogenes,"Queseria Chipilo, Inc.",Cheese,"Queseria Chipilo, Chipilo, Aztlan, more",08/2010
Salmonella,"Cal-Maine Foods, Inc.",Eggs,"Wagon Trail, West Creek, Sam’s",08/2010
Salmonella,Wright County Egg,Eggs,Cardenas Market,08/2010
Salmonella,Trafficanda Egg Ranch,Eggs,"Trafficanda Ranch, Trafficanda Family",08/2010
"Undeclared drug substance: Aminotadalafil, an analog of tadalafil","Natural Wellness, Inc.",Dietary supplement capsules,MasXtreme,08/2010
Listeria monocytogenes,Azteca Linda Corp.,,Queso El Azteca,08/2010
Salmonella,"Moark, LLC",Eggs,"Yucaipa Valley, Albertsons, Mountain Dairy, Farmer’s Gems",08/2010
Salmonella,NuCal Foods,Eggs,"Bayview, Becky, Cal, more",08/2010
Salmonella,Luberski Inc.,Eggs,"CRF, Alta Dena Dairy, Driftwood Dairy, more",08/2010
Potential complications concerning inflation or deflation of the balloon component during intracranial procedures,Integra LifeSciences Corporation,NeuroBalloon Catheter,NeuroBalloon,08/2010
Salmonella,"Hillandale Farms of Iowa, Inc.",Eggs,"Hillandale Farms, Sunny Farms, Sunny Meadow, more",08/2010
Undeclared milk,Milton&#39;s Baking Company,Bread,Milton&#39;s,08/2010
Salmonella,"GloryBee Foods, Inc.",Whole Raw Pistachio and Whole Raw Pistachio Kernels,Aunt Patty&#39;s,08/2010
Salmonella,"Country Eggs, Inc.",Eggs,"Country Eggs, Inc.",08/2010
Salmonella,"Snow White Food Products, Inc.",Sprouts,"Snow White Food Products, Inc.",08/2010
Salmonella,"AustiNuts Wholesale, Inc.",Pistachio kernel products,AustiNuts,08/2010
Salmonella,Wright County Egg,Eggs,"Albertsons, Farm Fresh, James Farms, more",08/2010
Undeclared peanuts,Moonstruck Chocolate Co.,Candy,Moonstruck,08/2010
"Undeclared drug substance: Sulfoaildenafil and Hydroxythiosildenofil, analogues of Sildenafil","Glow Industries, Inc.","Dietary supplement, Mr. Magic Male Enhancer",Don Wands,08/2010
Undeclared drug substance: Desmethyl Sibutramine,J &amp; H Besta Corp.,Slim-30 Herb Supplement,Slim-30,08/2010
Salmonella Typhi,"Fruiti Pops, Inc.",Frozen Mamey Fruit Bars,Fruiti Pops,08/2010
Salmonella,"Montalvan’s Sales, Inc.",Mamey pulp,La Nuestra,08/2010
Undeclared Soy,"NBTY Acquisition, LLC, dba Leiner Health Products","Dietary supplement: Air Shield, Air Protector, Immune System Support, and AirHealth Effervescent Tablets and Stick Packs","Equate, Meijer, Walborn, Safeway, Equaline, Top Care, Your Life,

CVS, Longs Wellness, Trader Darwin’s, Target, Safeway Select, 

Premier Value, Sunmark, Target Up &amp; Up",08/2010
Salmonella,NuCal Foods,Eggs,"Bayview, Mountain Dairy, Nulaid, more",08/2010
Clostridium botulinum,"NY Fish, Inc.",Smoked Herring,NY Fish,08/2010
Undeclared Sulfites,"Sunny Lake Trading, Inc.",Dried Dates,Golden Bridge,08/2010
Undeclared Soy,Elie Baking Corp. dba Near East Baking Corporation,Low carb white and whole wheat tortillas,Food City,08/2010
Undeclared milk product,"Contessa Premium Foods, Inc., Kroger Co.",Meals Made Simple Shrimp Linguini,Kroger,08/2010
Potentially contaminated with Salmonella,"Goya Foods, Inc.",Frozen Mamey Pulp,Goya Foods,08/2010
Potentially contaminated with Salmonella,Wright County Egg,Shell eggs,1-Lucerne; 2-Albertson; 3-Mountain Dairy; 4-Ralph’s; 5-Boomsma’s; 6-Sunshine; 7-Hillandale; 8-Trafficanda; 9-Farm Fresh; 10-Shoreland; 11-Lund; 12-Dutch Farms; and 13-Kemps,08/2010
Potentially contaminated with Salmonella,"Merrick Petcare, Inc.","Dog treats - Texas Hold&#39;ems, Beef Filet Squares",Merrick,08/2010
